ID,Distributor Name,Location,Car Name,Manufacturer Name,Car Type,Color,Gearbox,Number of Seats,Number of Doors,Energy,Manufactured Year,Price-$,Mileage-KM,Engine Power-HP,Purchased Date,Car Sale Status,Sold Date,Purchased Price-$,Sold Price-$,Margin-%,Sales Agent Name,Sales Rating,Sales Commission-$,Feedback,Profit-$,Sale Month
ABOXIG,Olx,North Carolina,Seltos,Kia,Hatchback,Gray,Manual,5,5,Electric,2023,7600,23346,150,2023-03-23,Un Sold,1970-01-01,6741,0,0,Dhruv,5,0,Excellent,-6741,Jan 1970
VZ5MUR,Automart,Portland,Scorpio,Mahindra,SUV,Blue,Manual,5,5,Hybrid,2021,8800,48354,120,2015-09-25,Un Sold,1970-01-01,7139,0,0,Shruthi,5,0,Excellent,-7139,Jan 1970
5DJ13V,Motor,Oklahoma,Creta,Hyundai,Hatchback,Black,Manual,5,5,Diesel,2016,6900,95284,113,2016-06-04,Un Sold,1970-01-01,5825,0,0,Anushka,5,0,Good,-5825,Jan 1970
DGSNQW,Zupps,Tucson,Scorpio,Mahindra,SUV,Gray,Automatic,5,5,Diesel,2018,8200,48596,120,2019-10-25,Un Sold,1970-01-01,6427,0,0,Shruthi,5,0,Poor,-6427,Jan 1970
DOXE81,Marchi,Columbus,Yodha,Tata,Truck,Red,Automatic,3,2,Electric,2024,8500,61262,100,2018-02-17,Sold,2023-08-15,7151,8688,21,Shilpa,3,307,Excellent,1537,Aug 2023
SRVVYP,Motor,Chicago,Hilux,Toyota,Truck,Blue,Automatic,4,2,Diesel,2024,7100,64959,200,2021-10-12,Un Sold,1970-01-01,5969,0,0,Rithvik,3,0,Good,-5969,Jan 1970
AMNVDL,Carro,Oklahoma,Yodha,Tata,Truck,White,Manual,3,2,Electric,2022,8700,72044,100,2023-12-13,Un Sold,1970-01-01,7757,0,0,Hariom,5,0,Average,-7757,Jan 1970
CTFM5T,Automart,Utah,Scorpio,Mahindra,SUV,Red,Manual,5,5,Diesel,2016,8400,37504,120,2017-09-16,Un Sold,1970-01-01,7704,0,0,Shiva,2,0,Average,-7704,Jan 1970
6ZPI5C,Olx,Oklahoma,Hilux,Toyota,Truck,Black,Automatic,4,2,Petrol,2017,7700,21375,200,2016-03-09,Un Sold,1970-01-01,6452,0,0,Piyush,4,0,Good,-6452,Jan 1970
VCTDFO,Carousell,Denver,Seltos,Kia,Hatchback,White,Manual,5,5,Diesel,2018,6700,33498,150,2018-12-29,Un Sold,1970-01-01,6154,0,0,Piyush,5,0,Average,-6154,Jan 1970
6F9Q0G,Carro,Tennessee,i20,Hyundai,Hatchback,White,Manual,4,5,Electric,2017,8200,32382,120,2023-08-04,Sold,2024-01-12,7082,8063,14,Piyush,5,196,Excellent,981,Jan 2024
9SB70Z,Trust,North Carolina,Etriga,Maruti,Hatchback,Black,Automatic,4,5,Diesel,2016,6900,81424,103,2023-01-02,Un Sold,1970-01-01,5713,0,0,Pranav,3,0,Excellent,-5713,Jan 1970
A4QPZ0,Skipper,Tucson,Hilux,Toyota,Truck,White,Automatic,4,2,Electric,2019,9000,59004,200,2016-02-29,Un Sold,1970-01-01,8330,0,0,Ram,1,0,Poor,-8330,Jan 1970
KBTPCZ,Cars24,Columbus,Seltos,Kia,Hatchback,Black,Automatic,5,5,Diesel,2015,7000,46237,150,2016-05-23,Un Sold,1970-01-01,6281,0,0,Supriya,2,0,Good,-6281,Jan 1970
HBK2SG,APE,California,Thar,Mahindra,SUV,White,Manual,5,3,Diesel,2024,7600,46573,130,2019-06-10,Un Sold,1970-01-01,6615,0,0,Karan,1,0,Good,-6615,Jan 1970
STWK6M,Nufor,California,Etriga,Maruti,Hatchback,Blue,Automatic,4,5,Electric,2017,8200,2775,103,2015-11-04,Un Sold,1970-01-01,6943,0,0,Piyush,2,0,Average,-6943,Jan 1970
FODIG1,Trivett,Texas,Yodha,Tata,Truck,White,Manual,3,2,Petrol,2017,7700,40526,100,2023-10-09,Un Sold,1970-01-01,7066,0,0,Krishna,5,0,Excellent,-7066,Jan 1970
U0UZ5W,Zupps,Chicago,Dzire,Maruti,Sedan,Black,Manual,5,5,Hybrid,2022,7700,89475,100,2021-12-02,Un Sold,1970-01-01,6067,0,0,Sweta,3,0,Average,-6067,Jan 1970
G6ZJA5,Carmudi,Utah,Etriga,Maruti,Hatchback,White,Manual,4,5,Electric,2019,8000,27587,103,2020-07-01,Sold,2020-04-03,7484,8112,8,Vihaan,1,126,Excellent,628,Apr 2020
7ZI8WJ,Carousell,Denver,Kags,Renault,SUV,Black,Automatic,7,5,Petrol,2024,7500,96936,175,2023-03-22,Un Sold,1970-01-01,6772,0,0,Dhruv,1,0,Average,-6772,Jan 1970
0Z4J3X,Trust,Tucson,Yodha,Tata,Truck,Blue,Manual,3,2,Petrol,2018,7600,19557,100,2015-03-05,Un Sold,1970-01-01,6903,0,0,Swapna,5,0,Poor,-6903,Jan 1970
QJDNL5,Marchi,Chicago,Yodha,Tata,Truck,Gray,Manual,3,2,Diesel,2024,7100,63187,100,2015-02-12,Un Sold,1970-01-01,6095,0,0,Shilpa,4,0,Average,-6095,Jan 1970
94FWV1,Trivett,California,Kags,Renault,SUV,Red,Automatic,7,5,Petrol,2017,8200,62920,175,2023-10-13,Un Sold,1970-01-01,6389,0,0,Sai,5,0,Excellent,-6389,Jan 1970
QJ5DOU,Olx,Philadelphia,Fortuner,Toyota,SUV,Black,Manual,8,5,Hybrid,2022,8700,52524,200,2017-08-04,Sold,2022-09-01,8018,8423,5,Rithvik,3,81,Excellent,405,Sep 2022
RHM7I1,Knox,Tennessee,Fortuner,Toyota,SUV,Blue,Automatic,8,5,Diesel,2024,7600,36148,200,2019-06-03,Un Sold,1970-01-01,6944,0,0,Vishwajeet,1,0,Good,-6944,Jan 1970
M1ZIB2,Kamkar,Florida,Fortuner,Toyota,SUV,Gray,Automatic,8,5,Petrol,2020,7900,35124,200,2019-12-07,Un Sold,1970-01-01,5928,0,0,Sai,2,0,Poor,-5928,Jan 1970
ORSWJU,Carsome,Columbus,Etriga,Maruti,Hatchback,Gray,Manual,4,5,Diesel,2017,6800,55505,103,2020-09-25,Un Sold,1970-01-01,6090,0,0,Anushka,4,0,Excellent,-6090,Jan 1970
4WLWYI,Trust,Utah,Scorpio,Mahindra,SUV,Blue,Manual,5,5,Diesel,2024,7600,18683,120,2021-11-12,Un Sold,1970-01-01,6922,0,0,Anushka,1,0,Good,-6922,Jan 1970
2D2S6D,Carro,Denver,Seltos,Kia,Hatchback,Red,Automatic,5,5,Electric,2020,7900,20977,150,2019-05-09,Un Sold,1970-01-01,7400,0,0,Anushka,3,0,Excellent,-7400,Jan 1970
9VV9TS,Sobri,Philadelphia,i20,Hyundai,Hatchback,White,Manual,4,5,Petrol,2015,6900,42996,120,2016-10-30,Un Sold,1970-01-01,5696,0,0,Vishwajeet,5,0,Good,-5696,Jan 1970
7UZ5JI,Knox,Portland,Creta,Hyundai,Hatchback,Red,Manual,5,5,Petrol,2022,6200,44056,113,2022-10-10,Un Sold,1970-01-01,4858,0,0,Narayan,5,0,Average,-4858,Jan 1970
KEZ6OZ,Automart,Detroit,Fortuner,Toyota,SUV,Blue,Manual,8,5,Diesel,2015,8500,1596,200,2019-04-06,Un Sold,1970-01-01,7771,0,0,Karan,5,0,Good,-7771,Jan 1970
NEJDTY,Trust,Tennessee,i20,Hyundai,Hatchback,Gray,Manual,4,5,Electric,2022,7700,44489,120,2023-12-17,Un Sold,1970-01-01,6732,0,0,Sai,5,0,Average,-6732,Jan 1970
CVEVNH,Trivett,Texas,Scorpio,Mahindra,SUV,Red,Automatic,5,5,Petrol,2018,8100,71853,120,2024-05-06,Un Sold,1970-01-01,7224,0,0,Swathi,5,0,Average,-7224,Jan 1970
553HY2,Oto,Tennessee,Thar,Mahindra,SUV,Red,Automatic,5,3,Electric,2023,9100,3528,130,2022-04-21,Un Sold,1970-01-01,8048,0,0,Shilpa,5,0,Good,-8048,Jan 1970
8XWHPE,Cars24,Madison,Plato,Prazo,Convertible,Gray,Automatic,2,2,Petrol,2019,9000,51334,250,2015-08-02,Un Sold,1970-01-01,8314,0,0,Hariom,2,0,Average,-8314,Jan 1970
8HMZIA,Oto,Detroit,i20,Hyundai,Hatchback,Gray,Manual,4,5,Diesel,2024,6100,49823,120,2019-06-18,Un Sold,1970-01-01,4420,0,0,Shiva,1,0,Good,-4420,Jan 1970
E4JC2G,Ahg,San Jose,Yodha,Tata,Truck,Blue,Manual,3,2,Diesel,2017,7800,46138,100,2015-08-26,Sold,2015-07-29,6080,6104,0,Aarush,1,5,Poor,24,Jul 2015
1JZYN5,Nufor,Utah,Plato,Prazo,Convertible,Black,Automatic,2,2,Electric,2017,10700,18743,250,2016-10-27,Un Sold,1970-01-01,9687,0,0,Arjuna,3,0,Good,-9687,Jan 1970
YB6JBZ,Carousell,Detroit,Creta,Hyundai,Hatchback,Red,Automatic,5,5,Petrol,2019,6500,16893,113,2018-12-06,Un Sold,1970-01-01,4702,0,0,Preeti,2,0,Excellent,-4702,Jan 1970
MYKWHY,Cars24,Philadelphia,i20,Hyundai,Hatchback,Blue,Automatic,4,5,Diesel,2016,6900,50426,120,2016-01-13,Un Sold,1970-01-01,5432,0,0,Narayan,4,0,Average,-5432,Jan 1970
V5RKQP,Kamkar,San Jose,Creta,Hyundai,Hatchback,Gray,Manual,5,5,Electric,2021,7800,54336,113,2017-08-20,Un Sold,1970-01-01,6323,0,0,Ram,3,0,Average,-6323,Jan 1970
ZYLZ4L,Carro,Texas,Swift,Maruti,Sedan,Blue,Manual,5,4,Electric,2024,8000,19397,115,2024-05-29,Un Sold,1970-01-01,6938,0,0,Krishna,5,0,Good,-6938,Jan 1970
I36MTO,Oto,Florida,Swift,Maruti,Sedan,Gray,Automatic,5,4,Petrol,2018,7100,6390,115,2019-06-27,Un Sold,1970-01-01,6179,0,0,Aarush,3,0,Excellent,-6179,Jan 1970
JAUKN9,Carro,Florida,Swift,Maruti,Sedan,Black,Automatic,5,4,Hybrid,2024,7500,12242,115,2021-06-02,Un Sold,1970-01-01,6248,0,0,Aditya,1,0,Average,-6248,Jan 1970
KPSTMV,Kamkar,Madison,i20,Hyundai,Hatchback,Red,Manual,4,5,Hybrid,2021,7300,48144,120,2015-06-29,Un Sold,1970-01-01,5496,0,0,Aditya,2,0,Good,-5496,Jan 1970
TRL6NS,Oto,North Carolina,Dzire,Maruti,Sedan,White,Manual,5,5,Petrol,2015,7400,63536,100,2020-11-07,Un Sold,1970-01-01,5584,0,0,Preeti,4,0,Excellent,-5584,Jan 1970
CQJ5R4,Nufor,Texas,Yodha,Tata,Truck,Blue,Automatic,3,2,Petrol,2024,7000,97765,100,2020-06-25,Sold,2024-08-03,6188,7162,16,Piyush,3,195,Good,974,Aug 2024
3CGDSS,Trivett,Tucson,Yodha,Tata,Truck,Gray,Manual,3,2,Diesel,2018,7700,1345,100,2016-03-16,Sold,2016-05-04,6548,6339,-3,Pavan,3,0,Excellent,-209,May 2016
YMRT5G,Kamkar,Columbus,Fortuner,Toyota,SUV,Gray,Automatic,8,5,Diesel,2020,8000,65392,200,2021-09-29,Sold,2022-08-20,6452,5893,-9,Bhavani,2,0,Excellent,-559,Aug 2022
HXKK7X,Marchi,Florida,Hilux,Toyota,Truck,Blue,Automatic,4,2,Electric,2016,9300,81298,200,2017-06-23,Sold,2023-06-28,7859,9392,20,Supriya,3,307,Excellent,1533,Jun 2023
XTWDXG,Carmix,Detroit,Swift,Maruti,Sedan,Black,Automatic,5,4,Diesel,2023,6700,68346,115,2024-08-08,Un Sold,1970-01-01,6110,0,0,Hariom,4,0,Poor,-6110,Jan 1970
8QZ10S,Carmix,Philadelphia,Seltos,Kia,Hatchback,Red,Manual,5,5,Hybrid,2018,7600,86480,150,2018-10-08,Un Sold,1970-01-01,6804,0,0,Anushka,2,0,Good,-6804,Jan 1970
7M2O2Y,Carsome,Chicago,Etriga,Maruti,Hatchback,Gray,Manual,4,5,Diesel,2018,6700,96613,103,2020-09-12,Un Sold,1970-01-01,5548,0,0,Dhruv,2,0,Excellent,-5548,Jan 1970
R18SJO,APE,Chicago,Seltos,Kia,Hatchback,Red,Manual,5,5,Hybrid,2017,7700,2849,150,2023-03-07,Un Sold,1970-01-01,6593,0,0,Bhavani,2,0,Good,-6593,Jan 1970
QRJKHU,Carousell,Columbus,i20,Hyundai,Hatchback,White,Automatic,4,5,Diesel,2017,6800,87877,120,2021-02-15,Sold,2021-03-27,6200,7027,13,Pavan,4,165,Excellent,827,Mar 2021
1A6156,Motor,Detroit,Fortuner,Toyota,SUV,Red,Manual,8,5,Petrol,2023,7600,40560,200,2018-09-28,Un Sold,1970-01-01,6438,0,0,Hariom,2,0,Average,-6438,Jan 1970
5L3LL4,Skipper,Madison,Scorpio,Mahindra,SUV,Red,Automatic,5,5,Petrol,2021,7800,93422,120,2019-06-28,Sold,2021-01-15,6102,4970,-19,Narayan,5,0,Excellent,-1132,Jan 2021
EY3OZ1,APE,California,Etriga,Maruti,Hatchback,Gray,Manual,4,5,Petrol,2020,6400,68035,103,2020-05-04,Un Sold,1970-01-01,5801,0,0,Sweta,5,0,Average,-5801,Jan 1970
3X9AY1,Marchi,Utah,Dzire,Maruti,Sedan,Black,Manual,5,5,Petrol,2015,7400,83801,100,2024-04-15,Un Sold,1970-01-01,5481,0,0,Shailaja,4,0,Good,-5481,Jan 1970
7MXX8J,Trust,Tucson,Seltos,Kia,Hatchback,Black,Manual,5,5,Electric,2015,8400,95261,150,2017-06-26,Un Sold,1970-01-01,7722,0,0,Rithvik,3,0,Average,-7722,Jan 1970
SAVS5D,Automart,North Carolina,Yodha,Tata,Truck,Black,Manual,3,2,Electric,2018,9100,25612,100,2023-09-28,Un Sold,1970-01-01,7627,0,0,Shiva,4,0,Average,-7627,Jan 1970
IXX9HQ,Carousell,Philadelphia,Thar,Mahindra,SUV,Red,Automatic,5,3,Electric,2021,9300,5109,130,2024-07-14,Un Sold,1970-01-01,7684,0,0,Swathi,1,0,Excellent,-7684,Jan 1970
J0G6Q1,Trust,Utah,Kags,Renault,SUV,Blue,Automatic,7,5,Hybrid,2020,8900,20544,175,2020-08-07,Un Sold,1970-01-01,6974,0,0,Rithvik,3,0,Average,-6974,Jan 1970
LZIBFK,Cars24,Oklahoma,Seltos,Kia,Hatchback,Black,Manual,5,5,Petrol,2018,6600,48985,150,2020-08-27,Un Sold,1970-01-01,5285,0,0,Preeti,3,0,Average,-5285,Jan 1970
IG8AN4,Cars24,Utah,i20,Hyundai,Hatchback,Red,Automatic,4,5,Hybrid,2024,7000,6187,120,2020-04-03,Sold,2020-10-23,6080,6000,-1,Hariom,1,0,Good,-80,Oct 2020
TTWEB3,Sobri,Tennessee,Yodha,Tata,Truck,Black,Manual,3,2,Electric,2016,9300,48796,100,2015-09-03,Un Sold,1970-01-01,7550,0,0,Rithvik,1,0,Good,-7550,Jan 1970
NCCM68,Carousell,Portland,Etriga,Maruti,Hatchback,Black,Manual,4,5,Hybrid,2021,7300,71878,103,2023-06-12,Un Sold,1970-01-01,5563,0,0,Hariom,3,0,Excellent,-5563,Jan 1970
D2MP5I,Marchi,Philadelphia,Etriga,Maruti,Hatchback,Gray,Manual,4,5,Diesel,2021,6400,65553,103,2020-03-05,Sold,2023-07-10,5081,5795,14,Krishna,5,143,Good,714,Jul 2023
G61RX0,Carro,Denver,Thar,Mahindra,SUV,Blue,Manual,5,3,Petrol,2016,8300,9295,130,2023-01-05,Un Sold,1970-01-01,6659,0,0,Sweta,3,0,Poor,-6659,Jan 1970
B18LAI,Knox,Denver,Fortuner,Toyota,SUV,Black,Automatic,8,5,Diesel,2015,8500,21157,200,2023-03-21,Un Sold,1970-01-01,7396,0,0,Rithvik,4,0,Excellent,-7396,Jan 1970
MQDMZX,Ahg,North Carolina,Dzire,Maruti,Sedan,Gray,Manual,5,5,Hybrid,2017,8200,62562,100,2020-08-22,Un Sold,1970-01-01,7522,0,0,Shilpa,5,0,Poor,-7522,Jan 1970
W3N6GC,Trivett,California,Yodha,Tata,Truck,Red,Automatic,3,2,Petrol,2024,7000,9023,100,2019-12-23,Sold,2020-06-16,5276,4938,-6,Narayan,1,0,Excellent,-338,Jun 2020
1GJOBW,Motor,California,Plato,Prazo,Convertible,Black,Manual,2,2,Hybrid,2021,9800,11719,250,2023-07-28,Un Sold,1970-01-01,9046,0,0,Pranav,2,0,Average,-9046,Jan 1970
JDD9H3,Trivett,Oklahoma,i20,Hyundai,Hatchback,Red,Automatic,4,5,Diesel,2016,6900,34328,120,2020-12-25,Un Sold,1970-01-01,5515,0,0,Shailaja,1,0,Good,-5515,Jan 1970
G0UC2X,Carousell,Oklahoma,Fortuner,Toyota,SUV,Red,Manual,8,5,Petrol,2020,7900,18701,200,2017-05-31,Un Sold,1970-01-01,6080,0,0,Bhavani,2,0,Good,-6080,Jan 1970
RW7LQY,Marchi,California,Creta,Hyundai,Hatchback,Blue,Manual,5,5,Hybrid,2024,7000,70112,113,2015-11-16,Un Sold,1970-01-01,6023,0,0,Narayan,4,0,Good,-6023,Jan 1970
ALXRLJ,Olx,North Carolina,Plato,Prazo,Convertible,White,Manual,2,2,Hybrid,2021,9800,29019,250,2015-01-15,Un Sold,1970-01-01,9296,0,0,Arjuna,1,0,Excellent,-9296,Jan 1970
UXGK4K,Sobri,Philadelphia,Scorpio,Mahindra,SUV,Black,Automatic,5,5,Electric,2024,9000,11150,120,2023-12-19,Sold,2024-02-23,8111,8098,0,Sweta,1,0,Excellent,-13,Feb 2024
RCU3VW,Skipper,California,Hilux,Toyota,Truck,Red,Manual,4,2,Petrol,2018,7600,23778,200,2022-03-21,Un Sold,1970-01-01,6814,0,0,Vishwajeet,3,0,Excellent,-6814,Jan 1970
EV95OH,Zupps,Texas,Fortuner,Toyota,SUV,Gray,Automatic,8,5,Hybrid,2021,8800,18644,200,2019-05-03,Un Sold,1970-01-01,7379,0,0,Preeti,5,0,Excellent,-7379,Jan 1970
QN9SRH,Automart,Portland,Seltos,Kia,Hatchback,Black,Manual,5,5,Hybrid,2015,7900,70595,150,2023-05-31,Un Sold,1970-01-01,7072,0,0,Shilpa,1,0,Excellent,-7072,Jan 1970
LALQK8,Trivett,Detroit,i20,Hyundai,Hatchback,Blue,Manual,4,5,Electric,2020,7900,13681,120,2017-08-26,Un Sold,1970-01-01,6020,0,0,Vihaan,2,0,Good,-6020,Jan 1970
Q0J603,Oto,Texas,Fortuner,Toyota,SUV,Gray,Manual,8,5,Hybrid,2020,8900,1564,200,2020-07-26,Un Sold,1970-01-01,7767,0,0,Pavan,3,0,Average,-7767,Jan 1970
SEP170,Kamkar,Chicago,Yodha,Tata,Truck,Blue,Automatic,3,2,Electric,2016,9300,21834,100,2021-06-06,Sold,2024-12-13,8691,8976,3,Shilpa,4,57,Average,285,Dec 2024
WHXGXU,APE,Denver,Fortuner,Toyota,SUV,Blue,Automatic,8,5,Petrol,2021,7800,70700,200,2017-06-17,Sold,2022-02-09,5887,6288,7,Vishwajeet,1,80,Poor,401,Feb 2022
T2OY11,Zupps,Denver,Fortuner,Toyota,SUV,Blue,Manual,8,5,Diesel,2017,8300,50769,200,2021-02-02,Sold,2024-08-04,7119,6857,-4,Shruthi,1,0,Excellent,-262,Aug 2024
9VI17L,Oto,Utah,Dzire,Maruti,Sedan,Red,Automatic,5,5,Hybrid,2017,8200,48126,100,2019-01-26,Un Sold,1970-01-01,6477,0,0,Dhruv,3,0,Average,-6477,Jan 1970
G327Y4,Trivett,North Carolina,Scorpio,Mahindra,SUV,Black,Automatic,5,5,Hybrid,2021,8800,13825,120,2016-05-27,Un Sold,1970-01-01,7723,0,0,Aarush,1,0,Average,-7723,Jan 1970
EBKKV0,Kamkar,New York,Thar,Mahindra,SUV,Blue,Automatic,5,3,Diesel,2018,8200,11960,130,2020-01-02,Un Sold,1970-01-01,6475,0,0,Vihaan,5,0,Excellent,-6475,Jan 1970
OF9OEP,Carmix,Philadelphia,Hilux,Toyota,Truck,Blue,Manual,4,2,Hybrid,2015,8900,91588,200,2018-10-28,Un Sold,1970-01-01,7456,0,0,Anushka,5,0,Excellent,-7456,Jan 1970
EGOVGU,Trivett,Texas,Yodha,Tata,Truck,Blue,Automatic,3,2,Diesel,2019,7600,60253,100,2017-03-19,Sold,2020-08-26,6654,6166,-7,Pavan,2,0,Average,-488,Aug 2020
02MD8J,APE,North Carolina,Plato,Prazo,Convertible,Gray,Manual,2,2,Petrol,2018,9100,12551,250,2018-02-13,Sold,2024-08-08,8529,9238,8,Supriya,4,142,Poor,709,Aug 2024
CGLUWH,Trivett,San Jose,i20,Hyundai,Hatchback,White,Automatic,4,5,Hybrid,2015,7900,40275,120,2020-12-28,Sold,2022-03-01,6068,7394,22,Sai,5,265,Excellent,1326,Mar 2022
AY1GFT,Carro,Madison,Kags,Renault,SUV,Blue,Automatic,7,5,Petrol,2020,7900,3079,175,2020-07-03,Un Sold,1970-01-01,6483,0,0,Anushka,3,0,Good,-6483,Jan 1970
DJT6XL,Motor,Utah,i20,Hyundai,Hatchback,Red,Manual,4,5,Electric,2019,8000,55735,120,2015-02-16,Sold,2016-02-25,6116,5731,-6,Bhavani,3,0,Average,-385,Feb 2016
UOVS4U,Sobri,San Jose,Fortuner,Toyota,SUV,Black,Manual,8,5,Electric,2016,9800,11356,200,2021-10-09,Sold,2024-03-15,8416,7408,-12,Anushka,5,0,Excellent,-1008,Mar 2024
GC2JBM,Skipper,Texas,i20,Hyundai,Hatchback,Black,Automatic,4,5,Diesel,2015,7000,36117,120,2023-06-07,Un Sold,1970-01-01,5396,0,0,Arjuna,1,0,Excellent,-5396,Jan 1970
KMRFUE,Ahg,Florida,Hilux,Toyota,Truck,Red,Manual,4,2,Electric,2021,8800,50698,200,2020-04-08,Un Sold,1970-01-01,7822,0,0,Vihaan,2,0,Good,-7822,Jan 1970
CZHNC3,Zupps,New York,Yodha,Tata,Truck,White,Automatic,3,2,Electric,2017,9200,33344,100,2020-06-22,Un Sold,1970-01-01,7940,0,0,Shailaja,3,0,Good,-7940,Jan 1970
YTBGCL,Ahg,North Carolina,Dzire,Maruti,Sedan,Black,Manual,5,5,Petrol,2023,6600,60777,100,2019-01-25,Un Sold,1970-01-01,5743,0,0,Vishwajeet,4,0,Good,-5743,Jan 1970
KTDD8N,Olx,Utah,Kags,Renault,SUV,Blue,Automatic,7,5,Diesel,2017,8300,88136,175,2019-07-16,Un Sold,1970-01-01,7312,0,0,Piyush,5,0,Excellent,-7312,Jan 1970
QHP4I1,Trust,North Carolina,Fortuner,Toyota,SUV,White,Manual,8,5,Diesel,2021,7900,30231,200,2015-03-13,Un Sold,1970-01-01,6370,0,0,Ram,3,0,Good,-6370,Jan 1970
